aberration	偏差；異常現象
abeyance	中止
abnegate	放棄
abrogate	廢除
abstemious	節制的
abstruse	深奧的
acerbic	尖刻的
acquiesce	默許
acumen	敏銳
admonish	告誡
adroit	機巧的
adulation	諂媚
adumbrate	預示；略微暗示
affable	和藹可親的
alacrity	敏捷；樂意
ameliorate	改善
amorphous	無定形的
anachronism	時代錯誤
anachronistic	時代錯誤的
anathema	詛咒；極討厭的事物
antipathy	反感
apathy	冷漠
apocryphal	虛假的
approbation	認可；讚許
arbiter	裁決者
arrogate	霸佔；冒稱
artless	單純的
ascetic	禁慾的
aspersion	誹謗
assiduous	勤奮的
attenuate	減弱
avarice	貪婪
baleful	惡意的
banal	陳腐的
bane	禍根
bastion	堡壘；堅固據點
beleaguer	圍攻
belie	掩飾
bellicose	好戰的
beneficent	慈善的
blandishment	奉承
bombast	誇大之詞
bombastic	誇大的
boorish	粗野的
brevity	簡潔
brusque	唐突的
bucolic	田園的
burgeon	迅速成長
burnish	擦亮
cacophony	刺耳聲
callow	稚嫩的
calumny	誹謗
camaraderie	同志情誼
candor	坦率
capitulate	投降
capricious	變化無常的
castigation	懲罰
catalyst	催化劑
cathartic	宣洩情緒的
caustic	腐蝕性的；挖苦的
censure	譴責
chicanery	詭計；狡辯
circumspect	謹慎的；慎重的
clemency	寬容
coagulate	凝固
cogent	有說服力的；令人信服的
cogitate	深思
colloquial	口語的
commensurate	相稱的
commiserate	同情
complaisant	彬彬有禮的
concomitant	伴隨的
conflagration	大火
contentious	好爭辯的
contumacious	頑固反抗的
conundrum	難題
convivial	歡樂的
corpulent	肥胖的
corroborate	證實
craven	懦弱的
credence	信任；信念
credulous	輕信的
cupidity	貪婪
daunt	嚇倒
dearth	缺乏
debauch	使墮落
decorous	端莊的
defenestration	拋出窗外
deleterious	有害的
demagogue	煽動者
demur	反對
desiccate	使乾燥
despot	暴君
desultory	散漫的；無計劃的
diaphanous	半透明的
diatribe	謾罵
dichotomy	二分法
dilettante	業餘愛好者
disabuse	糾正（錯誤觀念）
disconsolate	鬱鬱寡歡的
disparage	貶低
disparate	迥然不同的
dissemble	掩飾
dissonance	不和諧
droll	滑稽的
dudgeon	憤怒
ebullience	熱情洋溢
edify	啟發
efface	抹去
effervescent	活潑的；興奮的
efficacious	有效的
effrontery	厚顏無恥
effusive	感情氾濫的
egregious	極壞的
elicit	引出
emollient	潤膚劑
empirical	經驗主義的
emulate	模仿並超越
enervate	使衰弱
engender	產生
ephemeral	短暫的；轉瞬即逝的
epitome	典型
equanimity	鎮靜；平靜
equivocate	含糊其詞
erudite	博學的
eschew	避開
esoteric	深奧的；只有少數人懂的
ethereal	飄渺的
eulogy	頌詞
evanescent	迅速消失的
excoriate	嚴厲批評
exculpate	開脫
execrable	極壞的；令人厭惡的
execrate	憎恨
exegete	詮釋者
exigent	緊急的
expatiate	詳述
facetious	滑稽的
fallacious	謬誤的
farrago	混雜物
fastidious	挑剔的；講究的
fatuous	愚蠢的
fealty	忠誠
feckless	無效的
felicitous	貼切的
fervid	熱情的
flippant	輕浮的
florid	絢麗的
flout	藐視
foment	煽動
fortuitous	偶然的
fractious	易怒的
furtive	偷偷摸摸的
gainsay	否認
garrulous	喋喋不休的
gauche	笨拙的
gibe	嘲弄
grandiloquent	誇張的；浮誇的
grandiose	浮誇的
grandstand	譁眾取寵
gregarious	愛社交的；群居的
guile	狡猾
halcyon	寧靜的
hapless	不幸的
harangue	激烈演說
hedonist	享樂主義者
hegemony	霸權
hermetic	密封的；深奧的
heterodox	異端的
hubris	驕傲
iconoclast	反傳統者
ignominious	可恥的；不名譽的
imbroglio	糾葛
immutable	不可改變的
imperturbable	冷靜的
impetuous	魯莽的
impinge	侵犯
implacable	難平息的
importunate	糾纏不休的
impugn	質疑
impute	歸咎於
incendiary	煽動的
inchoate	初步的；未成熟的
incisive	銳利的
indefatigable	不屈不撓的
indigent	貧窮的
indolent	懶惰的
ineffable	難以言喻的
inept	無能的
inexorable	不可阻擋的
ingenuous	率直的
ingratiate	討好
inimical	不利的；敵意的
inscrutable	難以理解的
insidious	暗中危害的
insipid	無味的；乏味的
insouciant	無憂無慮的
interloper	闖入者
