vex	使惱火
bane	禍根
gibe	嘲弄
onus	責任
wane	衰退
zeal	熱情
banal	陳腐的
belie	掩飾
daunt	嚇倒
demur	反對
droll	滑稽的
edify	啟發
flout	藐視
guile	狡猾
inept	無能的
inure	使習慣於
knell	喪鐘
lucid	清楚的
lurid	駭人的
nadir	谷底
tacit	默示的
vapid	乏味的
waver	猶豫
yearn	渴望
yokel	鄉巴佬
acumen	敏銳
adroit	機巧的
apathy	冷漠
callow	稚嫩的
candor	坦率
cogent	有說服力的；令人信服的
craven	懦弱的
dearth	缺乏
despot	暴君
efface	抹去
elicit	引出
eschew	避開
eulogy	頌詞
fealty	忠誠
fervid	熱情的
florid	絢麗的
foment	煽動
gauche	笨拙的
hubris	驕傲
impugn	質疑
impute	歸咎於
jejune	枯燥無味的
kismet	命運
levity	輕率
milieu	社會環境
morass	困境
myopic	短視的
obtuse	遲鈍的
pariah	賤民
pedant	賣弄學問者
rancor	怨恨
rarefy	使稀薄
stolid	遲鈍的
tawdry	俗氣的
torpor	遲鈍
turbid	混濁的
zealot	狂熱者
zephyr	微風
acerbic	尖刻的
affable	和藹可親的
arbiter	裁決者
artless	單純的
ascetic	禁慾的
avarice	貪婪
baleful	惡意的
bastion	堡壘；堅固據點
bombast	誇大之詞
boorish	粗野的
brevity	簡潔
brusque	唐突的
bucolic	田園的
burgeon	迅速成長
burnish	擦亮
calumny	誹謗
caustic	腐蝕性的；挖苦的
censure	譴責
debauch	使墮落
dudgeon	憤怒
emulate	模仿並超越
epitome	典型
erudite	博學的
exegete	詮釋者
exigent	緊急的
farrago	混雜物
fatuous	愚蠢的
furtive	偷偷摸摸的
gainsay	否認
halcyon	寧靜的
hapless	不幸的
impinge	侵犯
insipid	無味的；乏味的
jocular	詼諧的
laconic	簡潔的
languid	倦怠的
maudlin	感情脆弱的
nascent	初生的
noisome	惡臭的
noxious	有毒的
oblique	斜的；隱晦的
occlude	封閉
onerous	繁重的
panacea	萬靈藥；解決一切問題的方法
paragon	模範
perfidy	背信棄義
placate	撫慰
probity	誠實；正直
prosaic	乏味的
puerile	幼稚的
quibble	吹毛求疵
raucous	喧鬧的
rescind	撤銷
salient	顯著的
squalid	骯髒的
sublime	崇高的
umbrage	不悅
verbose	囉嗦的
verdant	青翠的
voluble	健談的
wheedle	哄騙
winsome	迷人的
wizened	乾瘦的
abeyance	中止
abnegate	放棄
abrogate	廢除
abstruse	深奧的
admonish	告誡
alacrity	敏捷；樂意
anathema	詛咒；極討厭的事物
arrogate	霸佔；冒稱
catalyst	催化劑
clemency	寬容
cogitate	深思
credence	信任；信念
cupidity	貪婪
decorous	端莊的
diatribe	謾罵
disabuse	糾正（錯誤觀念）
effusive	感情氾濫的
enervate	使衰弱
engender	產生
esoteric	深奧的；只有少數人懂的
ethereal	飄渺的
execrate	憎恨
feckless	無效的
flippant	輕浮的
harangue	激烈演說
hedonist	享樂主義者
hegemony	霸權
hermetic	密封的；深奧的
inchoate	初步的；未成熟的
incisive	銳利的
indigent	貧窮的
indolent	懶惰的
inimical	不利的；敵意的
jettison	拋棄
lapidary	寶石的；言語精練的
malinger	裝病逃避工作
manifold	多樣的
maverick	特立獨行者
mitigate	減輕
moribund	垂死的
obdurate	頑固的；冷酷的
pellucid	清澈的
prodigal	揮霍的
quagmire	泥淖；困境
quandary	困境
quixotic	不切實際的
raillery	逗趣
redolent	充滿…氣味的；讓人想起…的
reticent	沉默的
salutary	有益的
sanguine	樂觀的
sinecure	閒職
specious	似是而非的
spurious	偽造的
strident	刺耳的
taciturn	沉默寡言的
temerity	魯莽
ubiquity	普遍存在
unctuous	虛情假意的
venerate	尊敬
veracity	誠實
visceral	內心的；本能的
volatile	易變的
