sublime	崇高的
inure	使習慣於
ineffable	難以言喻的
nefarious	惡毒的
libertine	放蕩者
juxtapose	並列
fallacious	謬誤的
obdurate	頑固的；冷酷的
impinge	侵犯
zealot	狂熱者
nadir	谷底
alacrity	敏捷；樂意
hapless	不幸的
oppobrium	辱罵
corroborate	證實
nascent	初生的
probity	誠實；正直
tantamount	等同於
contentious	好爭辯的
hermetic	密封的；深奧的
strident	刺耳的
vituperative	謾罵的；責罵的
blandishment	奉承
insipid	無味的；乏味的
capricious	變化無常的
perfidy	背信棄義
burnish	擦亮
bombast	誇大之詞
burgeon	迅速成長
obsequies	葬禮
propriety	得體
desultory	散漫的；無計劃的
catalyst	催化劑
adroit	機巧的
pariah	賤民
indigent	貧窮的
dudgeon	憤怒
levity	輕率
truculent	尖酸刻薄的；好鬥的
misanthrope	厭世者
milieu	社會環境
disparate	迥然不同的
florid	絢麗的
transient	短暫的
redolent	充滿…氣味的；讓人想起…的
credulous	輕信的
concomitant	伴隨的
adulation	諂媚
equanimity	鎮靜；平靜
dearth	缺乏
pejorative	貶義的
elicit	引出
mitigate	減輕
lucid	清楚的
ebullience	熱情洋溢
camaraderie	同志情誼
sagacious	睿智的；有遠見的
vapid	乏味的
ignominious	可恥的；不名譽的
cacophony	刺耳聲
decorous	端莊的
desiccate	使乾燥
munificent	慷慨的
occlude	封閉
impute	歸咎於
mendicant	乞丐
admonish	告誡
fatuous	愚蠢的
quagmire	泥淖；困境
effusive	感情氾濫的
daunt	嚇倒
precipitate	突然發生的
pellucid	清澈的
morass	困境
edify	啟發
impugn	質疑
dilettante	業餘愛好者
ubiquity	普遍存在
jettison	拋棄
lachrymose	愛哭的；催淚的
sacrosanct	神聖不可侵犯的
yearn	渴望
hedonist	享樂主義者
arrogate	霸佔；冒稱
halcyon	寧靜的
harangue	激烈演說
stolid	遲鈍的
unflappable	鎮定的
reclusive	隱居的
brevity	簡潔
reprobate	道德敗壞者
banal	陳腐的
mendacious	虛假的；捏造的
perspicacious	有洞察力的
salient	顯著的
bucolic	田園的
officious	多管閒事的
indolent	懶惰的
deleterious	有害的
maverick	特立獨行者
venerable	令人尊敬的
parsimonious	吝嗇的
artless	單純的
recondite	晦澀的；深奧的
prodigal	揮霍的
verdant	青翠的
rancor	怨恨
torpor	遲鈍
nonplussed	困惑的；不知所措的
ascetic	禁慾的
peccadillo	小過失
disabuse	糾正（錯誤觀念）
umbrage	不悅
gainsay	否認
guile	狡猾
cathartic	宣洩情緒的
execrable	極壞的；令人厭惡的
recalcitrant	不服從的
emulate	模仿並超越
onus	責任
efficacious	有效的
ephemeral	短暫的；轉瞬即逝的
panegyric	頌詞
verbose	囉嗦的
ethereal	飄渺的
defenestration	拋出窗外
manifold	多樣的
phlegmatic	冷靜的；遲鈍的
knell	喪鐘
inept	無能的
lucubration	苦學
castigation	懲罰
jejune	枯燥無味的
wane	衰退
exculpate	開脫
trenchant	犀利的
disparage	貶低
laconic	簡潔的
vex	使惱火
fastidious	挑剔的；講究的
pulchritude	美貌；（尤指女性的）體態美
insouciant	無憂無慮的
fortuitous	偶然的
abstruse	深奧的
fractious	易怒的
farrago	混雜物
approbation	認可；讚許
remonstrate	抗議
ameliorate	改善
perfidious	背信棄義的
inveterate	根深蒂固的（習慣、偏見等）
milquetoast	膽小的人
dissemble	掩飾
boorish	粗野的
belie	掩飾
noisome	惡臭的
hubris	驕傲
turpitude	卑鄙；墮落
contumacious	頑固反抗的
obfuscate	使模糊；使混亂
felicitous	貼切的
imbroglio	糾葛
pell-mell	混亂地
craven	懦弱的
flippant	輕浮的
squalid	骯髒的
waver	猶豫
pernicious	致命的
indefatigable	不屈不撓的
diatribe	謾罵
acumen	敏銳
empirical	經驗主義的
equivocate	含糊其詞
despot	暴君
debauch	使墮落
zeal	熱情
flout	藐視
diaphanous	半透明的
venerate	尊敬
amorphous	無定形的
abrogate	廢除
ingenuous	率直的
impetuous	魯莽的
aberration	偏差；異常現象
tacit	默示的
efface	抹去
spurious	偽造的
