eschew	避開
pell-mell	混亂地
pernicious	致命的
prescient	有先見的
grandiose	浮誇的
zephyr	微風
reticent	沉默的
fatuous	愚蠢的
flippant	輕浮的
nonplussed	困惑的；不知所措的
desultory	散漫的；無計劃的
invective	辱罵
heterodox	異端的
effusive	感情氾濫的
corpulent	肥胖的
callow	稚嫩的
mellifluous	悅耳動聽的
temerity	魯莽
probity	誠實；正直
camaraderie	同志情誼
efface	抹去
abeyance	中止
squalid	骯髒的
avarice	貪婪
tacit	默示的
remonstrate	抗議
lucubration	苦學
obsequious	諂媚的；逢迎的
noisome	惡臭的
taciturn	沉默寡言的
diatribe	謾罵
daunt	嚇倒
legerdemain	戲法；巧妙手法
bellicose	好戰的
diaphanous	半透明的
dissemble	掩飾
ignominious	可恥的；不名譽的
onus	責任
reclusive	隱居的
farrago	混雜物
volatile	易變的
gibe	嘲弄
demagogue	煽動者
rarefy	使稀薄
hapless	不幸的
ingenuous	率直的
oblique	斜的；隱晦的
indolent	懶惰的
vicissitude	變遷；興衰
desiccate	使乾燥
approbation	認可；讚許
inexorable	不可阻擋的
arrogate	霸佔；冒稱
occlude	封閉
dudgeon	憤怒
opprobrium	辱罵
internecine	內鬥的
contentious	好爭辯的
admonish	告誡
alacrity	敏捷；樂意
vex	使惱火
fealty	忠誠
cacophony	刺耳聲
droll	滑稽的
ebullience	熱情洋溢
jocular	詼諧的
inure	使習慣於
coagulate	凝固
harangue	激烈演說
baleful	惡意的
stolid	遲鈍的
guile	狡猾
implacable	難平息的
prodigal	揮霍的
solipsistic	唯我主義的
venerate	尊敬
edify	啟發
decorous	端莊的
trenchant	犀利的
sinecure	閒職
capricious	變化無常的
flout	藐視
redolent	充滿…氣味的；讓人想起…的
magnanimous	寬宏大量的；有雅量的
execrate	憎恨
perspicacious	有洞察力的
phlegmatic	冷靜的；遲鈍的
attenuate	減弱
salutary	有益的
candor	坦率
bombast	誇大之詞
burnish	擦亮
execrable	極壞的；令人厭惡的
apocryphal	虛假的
magniloquent	言語誇張的
obdurate	頑固的；冷酷的
precipitate	突然發生的
querulous	愛抱怨的
prosaic	乏味的
milquetoast	膽小的人
panacea	萬靈藥；解決一切問題的方法
venerable	令人尊敬的
mitigate	減輕
cogent	有說服力的；令人信服的
quibble	吹毛求疵
maverick	特立獨行者
maladroit	笨拙的
lucid	清楚的
efficacious	有效的
manifold	多樣的
tantamount	等同於
conflagration	大火
hedonist	享樂主義者
